attraction,url,summary,image
Balboa Park,https://en.wikipedia.org/wiki/Balboa_Park_(San_Diego),"Balboa Park is a 1,200-acre (490 ha) urban cultural park in San Diego, California, United States. In addition to open space areas, natural vegetation zones, green belts, gardens, and walking paths, it contains museums, several theaters, and the world-famous San Diego Zoo. There are also many recreational facilities and several gift shops and restaurants within the boundaries of the park. Placed in reserve in 1835, the park's site is one of the oldest in the United States dedicated to public recreational use. Balboa Park is managed and maintained by the Parks and Recreation Department of the City of San Diego.
Named for the Spanish maritime explorer Vasco Núñez de Balboa, the park hosted the 1915–16 Panama–California Exposition and 1935–36 California Pacific International Exposition, both of which left architectural landmarks. The park and its historic Exposition buildings were declared a National Historic Landmark and National Historic Landmark District in 1977, and placed on the National Register of Historic Places.",https://upload.wikimedia.org/wikipedia/commons/1/1d/Anna-H-Hunt---El-Cid-1.jpg
"""Epcot, Walt Disney World""",https://en.wikipedia.org/wiki/Walt_Disney_World_Monorail_System,"The Walt Disney World Monorail System is a public transit monorail system in operation at the Walt Disney World Resort in Bay Lake, Florida, near Orlando. The Walt Disney World Resort currently operates twelve Mark VI monorail trains on three lines of service. The monorail system opened in 1971 with two routes (Magic Kingdom: Resort and Express) and with Mark IV monorail trains. It was expanded to three lines (Magic Kingdom: Resort and Express, plus Epcot) in 1982, and the rolling stock was updated to Mark VI trains in 1989.
As of 2016, the system is one of the most heavily used monorail systems in the world, with over 150,000 daily riders. It is surpassed by the Tokyo Monorail in Tokyo, Japan, which has over 300,000 daily riders; and by the monorail system run by Chongqing Rail Transit in Chongqing, China, which has over 900,000 daily riders on Line 2 and Line 3 combined.",https://upload.wikimedia.org/wikipedia/commons/5/50/BSicon_BOOT.svg
Pike Place Market,https://en.wikipedia.org/wiki/Pike_Place_Market,"Pike Place Market is a public market overlooking the Elliott Bay waterfront in Seattle, Washington, United States. The Market opened August 17, 1907, and is one of the oldest continuously operated public farmers' markets in the United States. It is a place of business for many small farmers, craftspeople and merchants. Named after the central street, Pike Place runs northwest from Pike Street to Virginia Street. With more than 10 million visitors annually, Pike Place Market is Seattle's most popular tourist destination and is the 33rd most visited tourist attraction in the world.
The Market is built on the edge of a steep hill, and consists of several lower levels located below the main level. Each features a variety of unique shops such as antique dealers, comic book and collectible shops, small family-owned restaurants, and one of the oldest head shops in Seattle. The upper street level contains fishmongers, fresh produce stands and craft stalls operating in the covered arcades. Local farmers and craftspeople sell year-round in the arcades from tables they rent from the Market on a daily basis, in accordance with the Market's mission and founding goal: allowing consumers to ""Meet the Producer"".
Pike Place Market is home to nearly 500 residents who live in 8 different buildings throughout the Market. Most of these buildings have been low income housing in the past; however, some of them no longer are, such as the Livingston Baker apartments. The Market is run by the quasi-government Pike Place Market Preservation and Development Authority (PDA).",https://upload.wikimedia.org/wikipedia/commons/3/39/05_Pike_Place_Market_busker_at_main_entrance.jpg
"""Disney's Animal Kingdom, Walt Disney World""",https://en.wikipedia.org/wiki/Tree_of_Life_(Disney),"The Tree of Life is a 145-foot (44 m) sculpture of a baobab tree at Disney's Animal Kingdom, Walt Disney World Resort. It debuted when the attraction opened on April 22, 1998. Inspired by the mythical tree of the same name, the Tree of Life features 325 carvings of existing and extinct animal species on its trunk and surrounding roots.
Engineered from a refitted oil platform and based on the natural forms of baobob trees, the Tree of Life is located on Discovery Island, roughly in the center of the park. Its leaves are made out of kynar. At the structure's interior base is a 428-seat theater that hosts It's Tough to Be a Bug!, a 3-D film attraction based on the 1998 Disney/Pixar film A Bug's Life.",https://upload.wikimedia.org/wikipedia/commons/1/13/Disneystub.png
"""Disney's Hollywood Studios, Walt Disney World""",https://en.wikipedia.org/wiki/Beauty_and_the_Beast_Live_on_Stage,"Beauty and the Beast: Live on Stage! is a Broadway-style musical at the Theater of the Stars, on Sunset Boulevard, at Disney's Hollywood Studios, Walt Disney World and formerly at Disneyland Park and Disneyland Paris. It is based on the popular animated film Beauty and the Beast (the show opened on the same day as the film's premiere), including many of the original songs and characters. While most of the soundtrack is prerecorded, the actors playing Belle and Gaston speak and sing live. Two versions of the show have been presented since opening day.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Assistive_listening_icon.svg
Great Smoky Mountains National Park,https://en.wikipedia.org/wiki/Great_Smoky_Mountains_National_Park,"Great Smoky Mountains National Park is a United States National Park and UNESCO World Heritage Site that straddles the ridgeline of the Great Smoky Mountains, part of the Blue Ridge Mountains, which are a division of the larger Appalachian Mountain chain. The border between Tennessee and North Carolina runs northeast to southwest through the centerline of the park. It is the most visited national park in the United States with over 11.3 million recreational visitors in 2016. On its route from Maine to Georgia, the Appalachian Trail also passes through the center of the park. The park was chartered by the United States Congress in 1934 and officially dedicated by President Franklin Delano Roosevelt in 1940.
The park encompasses 522,419 acres (816.28 sq mi; 211,415.47 ha; 2,114.15 km2), making it one of the largest protected areas in the eastern United States. The main park entrances are located along U.S. Highway 441 (Newfound Gap Road) at the towns of Gatlinburg, Tennessee, and Cherokee, North Carolina. It was the first national park whose land and other costs were paid for in part with federal funds; previous parks were funded wholly with state money or private funds.",https://upload.wikimedia.org/wikipedia/commons/8/85/Alum_Cave_Bluffs_Trail.jpg
South Street Seaport,https://en.wikipedia.org/wiki/South_Street_Seaport,"The South Street Seaport is a historic area in the New York City borough of Manhattan, centered where Fulton Street meets the East River, and adjacent to the Financial District. The Seaport is a designated historic district, and is distinct from the neighboring Financial District. It is part of Manhattan Community Board 1 in Lower Manhattan, and is bounded by the Financial District to the west, southwest, and north; the East River to the southeast; and Two Bridges to the northeast.
It features some of the oldest architecture in downtown Manhattan, and includes the largest concentration of restored early 19th-century commercial buildings in the city. This includes renovated original mercantile buildings, renovated sailing ships, the former Fulton Fish Market, and modern tourist malls featuring food, shopping, and nightlife.",https://upload.wikimedia.org/wikipedia/commons/3/3b/1st_Avenue_9171.JPG
Mackinac Bridge,https://en.wikipedia.org/wiki/Mackinac_Bridge,"The Mackinac Bridge ( MAK-in-aw) is a suspension bridge spanning the Straits of Mackinac to connect the Upper and Lower Peninsulas of the U.S. state of Michigan. Opened in 1957, the 26,372-foot-long (4.995 mi; 8.038 km) bridge (familiarly known as ""Big Mac"" and ""Mighty Mac"") is the world's 20th-longest main span and the longest suspension bridge between anchorages in the Western Hemisphere. The Mackinac Bridge is part of Interstate 75 and the Lakes Michigan and Huron components of the Great Lakes Circle Tours across the straits; it is also a segment of the U.S. North Country National Scenic Trail. The bridge connects the city of St. Ignace on the north end with the village of Mackinaw City on the south.
Envisioned since the 1880s, the bridge was designed by the engineer David B. Steinman and completed in 1957 only after many decades of struggles to begin construction.",https://upload.wikimedia.org/wikipedia/commons/0/06/%27Vacationland%27%2C_newest_and_largest_car_ferry_added_to_Straits_of_Mackinaw_fleet.jpg
Navy Pier,https://en.wikipedia.org/wiki/Navy_Pier,"Navy Pier is a 3,300-foot-long (1,010 m) pier on the Chicago shoreline of Lake Michigan. It is located in the Streeterville neighborhood of the Near North Side community area. The Navy Pier currently encompasses more than fifty acres of parks, gardens, shops, restaurants, family attractions and exhibition facilities and is the top leisure destination in the Midwestern United States (""Midwest""), drawing nearly nine million visitors annually. It is one of the most visited attractions in the entire Midwest and is Chicago's number one tourist attraction.",https://upload.wikimedia.org/wikipedia/commons/e/ed/Chicago_locator_map.png
"""Pier 39, Fisherman's Wharf""",https://en.wikipedia.org/wiki/Tourist_attractions_in_the_United_States,"This is a list of the most popular individual tourist attractions in the United States, lists of tourist attractions organized by subject region, and a selection of other notable tourist attractions and destinations.",https://upload.wikimedia.org/wikipedia/commons/3/37/People_icon.svg
Detroit Institute of Arts,https://en.wikipedia.org/wiki/Detroit_Institute_of_Arts,"The Detroit Institute of Arts (DIA), located in Midtown Detroit, Michigan, has one of the largest and most significant art collections in the United States. With over 100 galleries, it covers 658,000 square feet (61,100 m2) with a major renovation and expansion project completed in 2007 that added 58,000 square feet (5,400 m2). The DIA collection is regarded as among the top six museums in the United States with an encyclopedic collection which spans the globe from ancient Egyptian and European works to contemporary art. Its art collection is valued in billions of dollars, up to $8.1 billion according to a 2014 appraisal. The DIA campus is located in Detroit's Cultural Center Historic District, about two miles (3 km) north of the downtown area, across from the Detroit Public Library near Wayne State University.
The museum building is highly regarded by architects. The original building, designed by Paul Philippe Cret, is flanked by north and south wings with the white marble as the main exterior material for the entire structure. The campus is part of the city's Cultural Center Historic District listed in the National Register of Historic Places. The museum's first painting was donated in 1883 and its collection consists of over 65,000 works. With about 677,500 visitors annually for 2015, the DIA is among the most visited art museums in the world. The Detroit Institute of Arts hosts major art exhibitions; it contains a 1,150-seat theatre designed by architect C. Howard Crane, a 380-seat hall for recitals and lectures, an art reference library, and a conservation services laboratory.",https://upload.wikimedia.org/wikipedia/commons/0/08/Benozzo_Gozzoli_-_Madonna_and_Child_-_WGA10327.jpg
Cranbrook Art Museum,https://en.wikipedia.org/wiki/Cranbrook_Educational_Community,"The Cranbrook Educational Community, an education, research and public museum complex in the US state of Michigan. A National Historic Landmark, it was founded in early 20th century by newspaper mogul George Gough Booth. Cranbrook campus is in the Detroit suburb of Bloomfield Hills consisting of Cranbrook Schools, Cranbrook Academy of Art, Cranbrook Art Museum, Cranbrook Institute of Science and Cranbrook House and Gardens. The founders also built Christ Church Cranbrook as a focal point in order to serve the educational complex, though the church is a separate entity under the Episcopal Diocese of Michigan. The sprawling, 319 acre (129 hectare) campus began as a 174-acre (70 ha) farm, purchased in 1904. The organization takes its name from Cranbrook, England, the birthplace of the founder's father.
Cranbrook is renowned for its architecture in the Arts and Crafts and Art Deco styles. The chief architect was Eliel Saarinen with Albert Kahn responsible for the Booth mansion, 1908,1919. Sculptors Carl Milles and Marshall Fredericks also spent many years in residence at Cranbrook.",https://upload.wikimedia.org/wikipedia/commons/4/48/ChristChurchCranbrook1.jpg
Grand Rapids Art Museum,https://en.wikipedia.org/wiki/Grand_Rapids_Art_Museum,"The Grand Rapids Art Museum (GRAM) is an art museum located in Grand Rapids, Michigan with collections ranging from Renaissance to Modern Art and special collections on 19th and 20th-century European and American art. Its holdings include notable modern art works such as Richard Diebenkorn’s 1963 Ingleside. The museum has in its collection 5,000 works of art, including over 3,500 prints, drawings and photographs.",https://upload.wikimedia.org/wikipedia/en/3/39/Grand_Rapids_Art_Museum_%28logo%29.png
Chinese Cultural Garden,https://en.wikipedia.org/wiki/Chinese_Cultural_Garden,"The Chinese Cultural Garden occupies 6 acres (24,000 m2) of Overfelt Gardens park in San Jose, California. The addition of the Chinese Cultural Garden to Overfelt is primarily the work of Chinese immigrant Frank Lowe, his wife Pauline (who serves as park docent), and Dr. Chen Li-Fu of Taiwan.",https://upload.wikimedia.org/wikipedia/commons/5/53/9914_CKS_%2828043785044%29.jpg
Emma Prusch Farm Park,https://en.wikipedia.org/wiki/Emma_Prusch_Farm_Park,"Emma Prusch Farm Park is a 43.5 acre (176,000 m²) park in East San Jose, California. Donated by Emma Prusch to the City of San Jose in 1962 to use to demonstrate the valley's agricultural past, it includes a 4-H barn (the largest in San Jose), community gardens, a rare-fruit orchard, demonstration gardens, picnic areas, and expanses of lawn. The park is host to an annual Harvest Festival and is operated cooperatively by the San Jose Parks and Recreation Department and the non-profit Emma Prusch Farm Park Foundation.",https://upload.wikimedia.org/wikipedia/commons/4/4e/EmmaPruschFarmhouse.jpg
Stanford University Arboretum,https://en.wikipedia.org/wiki/Stanford_University_Arboretum,"The Stanford University Arboretum is an arboretum located on the grounds of Stanford University in Stanford, California. It is open to the public daily without charge.",https://upload.wikimedia.org/wikipedia/commons/f/f8/Stanford_University_Arboretum_%28July_2006%29.JPG
New Museum Los Gatos,https://en.wikipedia.org/wiki/New_Museum_Los_Gatos,"New Museum Los Gatos (NUMU), formerly the Los Gatos Museum Association founded in 1965, is a public non-profit art and history museum located in the Civic Center Plaza in downtown Los Gatos, California. NUMU’s mission is to engage the community at the intersection of art, history and education through innovative, locally connected and globally relevant exhibitions, programs and experiences.",https://upload.wikimedia.org/wikipedia/commons/0/03/NUMU.jpg
Cathedral Basilica of St. Joseph,https://en.wikipedia.org/wiki/Cathedral_Basilica_of_St._Joseph_(San_Jose),"The Cathedral Basilica of St. Joseph is a large Roman Catholic church in Downtown San Jose, which serves as the cathedral for the Roman Catholic Diocese of San Jose in California, with the distinction of minor basilica.
The basilica is named for Saint Joseph, patron saint of the universal church and namesake of San Jose, California.",https://upload.wikimedia.org/wikipedia/commons/5/5a/046CupolaSPietro.jpg
Villa Montalvo,https://en.wikipedia.org/wiki/Montalvo_Arts_Center,"The Montalvo Arts Center is a non-profit center for the arts in Saratoga, California, United States. Open to the public, Montalvo comprises a cultural and arts center, a park, hiking trails and the historic Villa Montalvo, an Italian Mediterranean Revival mansion nestled in the foothills of the Santa Cruz Mountains. The mansion and estate were constructed from 1912–14 by California statesman and businessman James Duval Phelan. After Phelan's death, the entire estate was donated to California as a park and then a cultural and arts center as it exists today. The arts center maintains the estate in partnership with Santa Clara County. The mansion is a historic landmark, and in 1978 it was awarded inclusion in the National Register of Historic Places.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Map_of_USA_CA.svg
Circle of Palms Plaza,https://en.wikipedia.org/wiki/Circle_of_Palms_Plaza,"The Circle of Palms Plaza is located in downtown San Jose, California. It is the location of California Historical Marker 461, the site of California's first state capital from 1849-1851. Today a ring of palm trees encircles a California State Seal at the historical marker, between the Fairmont San Jose Hotel, the KQED building (Silicon Valley Financial Center) and the San Jose Museum of Art.
The Circle of Palms as well as adjacent Plaza de César Chávez park are reservable as event venues. The Circle of Palms can host events as large as 2000 standing or 1000 seated. Each Winter, the San Jose Downtown Association sets up an outdoor ice rink called ""San Jose Downtown Ice"" at the Circle of Palms.",https://upload.wikimedia.org/wikipedia/commons/1/19/California_Poppy_closeup.jpg
De Anza Hotel,https://en.wikipedia.org/wiki/Hotel_De_Anza,"The Hotel De Anza is a historic hotel in San Jose, California. At ten stories, it once was the tallest hotel in the San Jose central business district, prior to the construction of Hilton, Fairmont, and Marriott hotels. Significant for its architectural style, it is one of San Jose's few Zig Zag Moderne (Art Deco) buildings. The hotel was listed on the National Register of Historic Places on January 21, 1982.
The De Anza Hotel was funded by the local business community, united in an organization called the San Jose Community Hotel Corporation. The hotel took three years of planning by this group and stock subscriptions were obtained from more than 200 local citizens. Architect W. H. Weeks was the building's designer and Carl Swenson was the contractor. Local business leaders emphasized that the hotel would benefit San Jose and that the modern accommodations would help attract conventions to the area. Groundbreaking occurred on February 27, 1931, and was presided over by the corporation president, Alexander Hart, and many of San Jose's most prominent citizens and businessmen. It was originally planned to be called ""The San Jose Hotel"", but instead it was changed to be named after explorer Juan Bautista de Anza.
The facade features a 10-story central section flanked by a 9-story section on either side. These massings along with the building's zigzag parapet give it a stepped appearance. The first and second stories of the building house its lobby and mezzanine. Fenestration consists mostly of simple sash, double-hung windows except for the second level of the facade, which is highlighted by a band of 12 arched windows. The relief patterns include a string course separating the first and second levels, rosettes on the second level, and an elaborate art deco design through to the final two stories. Some Mayan influences can be seen in the design details of the stepped parapet. On the west elevation is painted ""Hotel De Anza"" with a diver used to indicate a swimming pool which is at the rear of the building within a small courtyard area. The hotel's west wall also features a mural by Jim Miner, ""Life Abundant in the Face of Death Imminent"", which was completed on August 12, 2016, and is easily visible to motorists along West Santa Clara Street.
The interior of the De Anza is distinguished by a main lobby where Art Deco elements are integrated into a predominantly Spanish Colonial Revival decorative scheme. The lobby reaches two stories in height and contains large wooden beams with stenciled colored floral patterns. Major factors of the interior design are the highly detailed wrought iron balconies, the huge wrought iron chandelier and double arch doorways. To one side is a fireplace with a huge canopy that reaches to the ceiling. Interior doors are all distinguished by their colored stenciled floral designs.
By the 1970s, the hotel had become run down and was nearly demolished. Instead, the San Jose Redevelopment Agency was able to save the building and arranged for its reconstruction, which cost twenty times its initial construction price.",https://upload.wikimedia.org/wikipedia/commons/a/aa/USA-San_Jose-De_Anza_Hotel-5.jpg
Hangar One,"https://en.wikipedia.org/wiki/Hangar_One_(Mountain_View,_California)","Hangar One is one of the world's largest freestanding structures, covering 8 acres (3.2 ha) at the Moffett Field airship hangars site at Moffett Field, California (near Mountain View), in Santa Clara County of the southern San Francisco Bay Area, California.
The massive hangar has long been one of the most recognizable landmarks of California's Silicon Valley. An early example of mid-century modern architecture, it was built in the 1930s as a naval airship hangar for the USS Macon.",https://upload.wikimedia.org/wikipedia/commons/2/25/Hangar_One_September_2012_-_2.jpg
